Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2008","2008","1000 No","624851.765","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2008","2008","1000 No","583079.198","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2008","2008","1000 No","835058.767","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2008","2008","1000 No","362088.139","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 No","1225524.753","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2009","2009","1000 No","633887.203","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2009","2009","1000 No","591637.549","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2009","2009","1000 No","842864.409","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2009","2009","1000 No","371405.723","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","1243481.564","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 No","643098.086","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 No","600383.478","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 No","850236.137","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 No","380744.554","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","1261224.954","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 No","652190.186","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 No","609034.769","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 No","857153.804","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 No","390082.225","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","1278674.502","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 No","661116.668","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 No","617557.834","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 No","863513.505","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 No","399552.347","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","1295829.511","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 No","669876.676","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 No","625952.834","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 No","869387.533","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 No","409174.674","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","1312277.191","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2014","2014","1000 No","678266.11","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2014","2014","1000 No","634011.081","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 No","874857.621","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 No","419001.673","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","1328024.498","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2015","2015","1000 No","686298.736","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2015","2015","1000 No","641725.761","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 No","879984.521","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 No","429069.459","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","1343944.296","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 No","694417.091","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 No","649527.205","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 No","884779.655","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 No","439391.699","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","1359657.4","X","Figure from external organization",""
