Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","18257.2015","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","59.6744","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","13.4267","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","73.1011","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","19371.7915","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","19371.7915","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2008","2008","3050","FAO TIER 1","kt","60.6824","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2008","2008","3050","FAO TIER 1","kt","13.6535","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2008","2008","3050","FAO TIER 1","kt","74.336","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2008","2008","3050","FAO TIER 1","kt","19699.04","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2008","2008","3050","FAO TIER 1","kt","19699.04","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2009","2009","3050","FAO TIER 1","kt","57.4222","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2009","2009","3050","FAO TIER 1","kt","12.92","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2009","2009","3050","FAO TIER 1","kt","70.3422","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2009","2009","3050","FAO TIER 1","kt","18640.683","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2009","2009","3050","FAO TIER 1","kt","18640.683","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","61.2575","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","13.7829","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","75.0404","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","19885.706","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","19885.706","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","64.4733","E","Estimated value",""
